| Rank | Model         | CPU Options                    | RAM / Max       | NVMe Slots / Max Storage                        | Battery (Wh)       | Max Charger (W) | Build Quality | Display             | Cooling               | Extra Features                               | Launch Month-Year | Expected Longevity (Years) | Price Range (₹) |
| ---- | ------------- | ------------------------------ | --------------- | ----------------------------------------------- | ------------------ | --------------- | ------------- | ------------------- | --------------------- | -------------------------------------------- | ----------------- | -------------------------- | --------------- |
| 1    | **T580**      | i5-8250U / i5-8350U / i7-8550U | 8–16 GB / 32 GB | 2 NVMe + 2.5” SATA / up to 2 TB NVMe + 2 TB HDD | 72 Wh              | 65 W            | 10            | 15.6” FHD IPS       | Dual-fan, heat pipe   | Numeric keypad, docking, LTE, Type-C PD      | Jan 2018          | 7–8                        | 25–32k          |
| 2    | **T480**      | i5-8250U / i5-8350U            | 8–16 GB / 32 GB | 2 NVMe / up to 2 TB NVMe                        | 57 Wh / 72 Wh dual | 65 W            | 9             | 14” FHD IPS         | Dual-fan, heat pipe   | USB-C PD, optional WWAN, upgradeable RAM/SSD | Jan 2018          | 6–7                        | 22–28k          |
| 3    | **T14 Gen 1** | i5-10210U / i5-10310U          | 8–16 GB / 32 GB | 2 NVMe / up to 2 TB NVMe                        | 50–57 Wh           | 65 W            | 9             | 14” FHD IPS / touch | Single heat pipe, fan | Fingerprint reader, USB-C PD                 | Jun 2020          | 7–8                        | 28–35k          |
| 4    | **L490**      | i5-8265U / i5-8365U            | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 1 TB NVMe + 2 TB HDD    | 50–52 Wh           | 65 W            | 8             | 14” FHD IPS         | Single-fan            | Type-C charging, upgradeable RAM/SSD         | Jan 2019          | 6–7                        | 22–28k          |
| 5    | **L480**      | i5-8250U / i5-8350U            | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 1 TB NVMe + 2 TB HDD    | 48–52 Wh           | 65 W            | 8             | 14” FHD TN/IPS      | Single-fan            | Budget-friendly, upgradeable RAM/SSD         | Jan 2018          | 6–7                        | 18–25k          |
| 6    | **L15 Gen 1** | i5-10210U / i5-10310U          | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 1 TB NVMe + 2 TB HDD    | 45–50 Wh           | 65 W            | 8             | 15.6” FHD IPS       | Single-fan            | USB-C PD, full HD display                    | Jun 2020          | 6–7                        | 25–32k          |


| Rank | Model             | CPU Options                    | RAM / Max       | NVMe Slots / Max Storage                     | Battery (Wh) | Max Charger (W) | Build Quality | Display       | Cooling    | Extra Features                            | Launch Month-Year | Expected Longevity (Years) | Price Range (₹) |
| ---- | ----------------- | ------------------------------ | --------------- | -------------------------------------------- | ------------ | --------------- | ------------- | ------------- | ---------- | ----------------------------------------- | ----------------- | -------------------------- | --------------- |
| 1    | **Latitude 5490** | i5-8350U / i5-8365U / i7-8650U | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 2 TB NVMe + 2 TB HDD | 60 Wh        | 65 W            | 9             | 14” FHD IPS   | Single-fan | Fingerprint, SmartCard, USB-C PD, docking | Jan 2018          | 6–7                        | 22–28k          |
| 2    | **Latitude 5590** | i5-8350U / i5-8365U / i7-8650U | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 2 TB NVMe + 2 TB HDD | 60 Wh        | 65 W            | 9             | 15.6” FHD IPS | Single-fan | Fingerprint, SmartCard, USB-C PD, docking | Jan 2018          | 6–7                        | 23–28k          |
| 3    | **Latitude 7490** | i5-8350U / i7-8650U            | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 2 TB NVMe + 2 TB HDD | 60 Wh        | 65 W            | 10            | 14” FHD IPS   | Single-fan | USB-C PD, Thunderbolt 3, fingerprint      | Jan 2018          | 7–8                        | 28–32k          |
| 4    | **Latitude 7390** | i5-8350U / i7-8650U            | 8–16 GB / 32 GB | 1 NVMe / up to 2 TB NVMe                     | 52 Wh        | 65 W            | 9             | 13.3” FHD IPS | Single-fan | USB-C PD, fingerprint, LTE optional       | Jan 2018          | 7–8                        | 28–32k          |
| 5    | **Vostro 5481**   | i5-10210U / i7-10510U          | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 1 TB NVMe + 2 TB HDD | 42 Wh        | 65 W            | 8             | 14” FHD IPS   | Single-fan | USB-C PD, budget business class           | Jun 2019          | 6–7                        | 20–25k          |
| 6    | **Vostro 5590**   | i5-10210U / i7-10510U          | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 1 TB NVMe + 2 TB HDD | 42 Wh        | 65 W            | 8             | 15.6” FHD IPS | Single-fan | USB-C PD, budget business class           | Jun 2019          | 6–7                        | 22–28k          |


| Rank | Model                | CPU Options         | RAM / Max       | NVMe Slots / Max Storage                       | Battery (Wh) | Max Charger (W) | Build Quality | Display       | Cooling    | Extra Features                                             | Launch Month-Year | Expected Longevity (Years) | Price Range (₹) |
| ---- | -------------------- | ------------------- | --------------- | ---------------------------------------------- | ------------ | --------------- | ------------- | ------------- | ---------- | ---------------------------------------------------------- | ----------------- | -------------------------- | --------------- |
| 1    | **ProBook 450 G6**   | i5-8265U / i7-8565U | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 1 TB NVMe + 2 TB HDD   | 45 Wh        | 65 W            | 9             | 15.6” FHD IPS | Single-fan | USB-C PD, Fingerprint, numeric keypad, upgradeable RAM/SSD | Jan 2019          | 6–7                        | 22–28k          |
| 2    | **ProBook 440 G6**   | i5-8265U / i7-8565U | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 1 TB NVMe + 2 TB HDD   | 45 Wh        | 65 W            | 9             | 14” FHD IPS   | Single-fan | USB-C PD, Fingerprint, upgradeable RAM/SSD                 | Jan 2019          | 6–7                        | 22–28k          |
| 3    | **EliteBook 840 G5** | i5-8350U / i7-8650U | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 1 TB NVMe + 2 TB HDD   | 50 Wh        | 65 W            | 10            | 14” FHD IPS   | Single-fan | USB-C PD, Fingerprint, LTE optional, docking               | Jan 2018          | 7–8                        | 28–32k          |
| 4    | **ProBook 470 G5**   | i5-8350U / i7-8650U | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 1 TB NVMe + 2 TB HDD   | 47 Wh        | 65 W            | 9             | 17.3” FHD IPS | Single-fan | USB-C PD, numeric keypad, upgradeable RAM/SSD              | Jan 2018          | 6–7                        | 23–28k          |
| 5    | **ProBook 430 G6**   | i5-8265U / i7-8565U | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 1 TB NVMe + 2 TB HDD   | 42 Wh        | 65 W            | 8             | 13.3” FHD IPS | Single-fan | USB-C PD, Fingerprint, upgradeable RAM/SSD                 | Jan 2019          | 6–7                        | 20–25k          |
| 6    | **ProBook 640 G3**   | i5-7200U / i7-7500U | 8–16 GB / 32 GB | 1 NVMe + 1 SATA / up to 512 GB NVMe + 2 TB HDD | 45 Wh        | 65 W            | 8             | 14” FHD IPS   | Single-fan | USB-C PD optional, budget business class                   | Jan 2017          | 5–6                        | 18–22k          |
